131
   1.00000	   0.00126     0.0 
   0.99942	   0.00134     0.0
   0.99767	   0.00159     0.0
   0.99475	   0.00199     0.0
   0.99068	   0.00256     0.0
   0.98547	   0.00328     0.0
   0.97912	   0.00415     0.0
   0.97166	   0.00517     0.0
   0.96309	   0.00632     0.0
   0.95344	   0.00761     0.0
   0.94273	   0.00902     0.0
   0.93098	   0.01055     0.0
   0.91824	   0.01218     0.0
   0.90451	   0.01391     0.0
   0.88984	   0.01574     0.0
   0.87426	   0.01764     0.0
   0.85780	   0.01961     0.0
   0.84051	   0.02163     0.0
   0.82242	   0.02371     0.0
   0.80358	   0.02583     0.0
   0.78403	   0.02798     0.0
   0.76382	   0.03015     0.0
   0.74299	   0.03233     0.0
   0.72160	   0.03451     0.0
   0.69968	   0.03667     0.0
   0.67730	   0.03881     0.0
   0.65451	   0.04092     0.0
   0.63135	   0.04298     0.0
   0.60789	   0.04498     0.0
   0.58418	   0.04691     0.0
   0.56027	   0.04876     0.0
   0.53622	   0.05052     0.0
   0.51208	   0.05216     0.0
   0.48792	   0.05369     0.0
   0.46378	   0.05508     0.0
   0.43973	   0.05632     0.0
   0.41582	   0.05740     0.0
   0.39211	   0.05831     0.0
   0.36865	   0.05904     0.0
   0.34549	   0.05957     0.0
   0.32270	   0.05990     0.0
   0.30032	   0.06002     0.0
   0.27840	   0.05991     0.0
   0.25701	   0.05958     0.0
   0.23618	   0.05901     0.0
   0.21597	   0.05820     0.0
   0.19642	   0.05716     0.0
   0.17758	   0.05589     0.0
   0.15949	   0.05437     0.0
   0.14220	   0.05263     0.0
   0.12574	   0.05065     0.0
   0.11016	   0.04846     0.0
   0.09549	   0.04605     0.0
   0.08176	   0.04344     0.0
   0.06902	   0.04063     0.0
   0.05727	   0.03764     0.0
   0.04656	   0.03448     0.0
   0.03691	   0.03116     0.0
   0.02834	   0.02768     0.0
   0.02088	   0.02407     0.0
   0.01453	   0.02033     0.0
   0.00931	   0.01647     0.0
   0.00525	   0.01250     0.0
   0.00233	   0.00843     0.0
   0.00058	   0.00426     0.0
   0.00000	   0.00000     0.0
   0.00058	  -0.00426     0.0
   0.00233	  -0.00843     0.0
   0.00525	  -0.01250     0.0
   0.00931	  -0.01647     0.0
   0.01453	  -0.02033     0.0
   0.02088	  -0.02407     0.0
   0.02834	  -0.02768     0.0
   0.03691	  -0.03116     0.0
   0.04656	  -0.03448     0.0
   0.05727	  -0.03764     0.0
   0.06902	  -0.04063     0.0
   0.08176	  -0.04344     0.0
   0.09549	  -0.04605     0.0
   0.11016	  -0.04846     0.0
   0.12574	  -0.05065     0.0
   0.14220	  -0.05263     0.0
   0.15949	  -0.05437     0.0
   0.17758	  -0.05589     0.0
   0.19642	  -0.05716     0.0
   0.21597	  -0.05820     0.0
   0.23618	  -0.05901     0.0
   0.25701	  -0.05958     0.0
   0.27840	  -0.05991     0.0
   0.30032	  -0.06002     0.0
   0.32270	  -0.05990     0.0
   0.34549	  -0.05957     0.0
   0.36865	  -0.05904     0.0
   0.39211	  -0.05831     0.0
   0.41582	  -0.05740     0.0
   0.43973	  -0.05632     0.0
   0.46378	  -0.05508     0.0
   0.48792	  -0.05369     0.0
   0.51208	  -0.05216     0.0
   0.53622	  -0.05052     0.0
   0.56027	  -0.04876     0.0
   0.58418	  -0.04691     0.0
   0.60789	  -0.04498     0.0
   0.63135	  -0.04298     0.0
   0.65451	  -0.04092     0.0
   0.67730	  -0.03881     0.0
   0.69968	  -0.03667     0.0
   0.72160	  -0.03451     0.0
   0.74299	  -0.03233     0.0
   0.76382	  -0.03015     0.0
   0.78403	  -0.02798     0.0
   0.80358	  -0.02583     0.0
   0.82242	  -0.02371     0.0
   0.84051	  -0.02163     0.0
   0.85780	  -0.01961     0.0
   0.87426	  -0.01764     0.0
   0.88984	  -0.01574     0.0
   0.90451	  -0.01391     0.0
   0.91824	  -0.01218     0.0
   0.93098	  -0.01055     0.0
   0.94273	  -0.00902     0.0
   0.95344	  -0.00761     0.0
   0.96309	  -0.00632     0.0
   0.97166	  -0.00517     0.0
   0.97912	  -0.00415     0.0
   0.98547	  -0.00328     0.0
   0.99068	  -0.00256     0.0
   0.99475	  -0.00199     0.0
   0.99767	  -0.00159     0.0
   0.99942	  -0.00134     0.0
   1.00000	  -0.00126     0.0
